route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2025_08_11-DX-MVS-Weekday-003,1771618,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771619,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771668,"OAK Airport / Richmond",0,,003A_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771856,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771669,"OAK Airport / Richmond",0,,003B_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771857,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771670,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771858,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771671,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771859,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771672,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771860,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771673,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771861,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2025_08_11-DX-MVS-Weekday-003,1771674,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2025_08_11-DX-MVS-Weekday-003,1771862,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
